CU	ZIN	ZAO
monkeyc1g1s4	3.154736	6.743244
monkeyc1g1s46	4.270627	8.432667
monkeyc1g1s47	5.926263	8.145282
monkeyc1g1s48	4.500541	9.591276
monkeyc2g2s910	15.007263	9.132867
monkeyc2g2s910	15.007263	9.132867
monkeyc2g2s944	11.222947	7.089969
monkeyc2g2s984	14.402592	7.39681
monkeyc3l1s1271	4.8596118151	13.4884021392
monkeyc3l1s1282	7.9124185692	13.3191673926
monkeyc3l1s1290	5.5995795627	13.511649272
monkeyc3l1s1271	4.8596118151	13.4884021392
monkeyc4l2s1927	13.2313356162	13.2426430262
monkeyc4l2s1934	12.8093216692	13.4709654754
monkeyc4l2s1943	14.3051434539	13.2258642102
monkeyc4l2s1977	12.5037732876	13.3792809209
monkeyc5hr1s2225	6.136853	1.041199
monkeyc5hr1s2235	16.928131	7.334067
monkeyc5hr1s2214	0.539779	8.945471
monkeyc5hr1s2218	6.532893	0.872956
monkeyc6r1s2720	0.590797	15.272188
monkeyc6r1s2731	7.150428	-2.936463
monkeyc6r1s2724	2.107097	16.987244
monkeyc6r1s2714	3.554043	17.835802
monkeyc7sp1s3002	27.04487	14.268445
monkeyc7sp1s3008	24.513061	16.3497
monkeyc7sp1s3013	27.04936	14.29981
monkeyc7sp1s3037	23.32026	15.78479
monkeyc8sp2s3529	-9.54567	14.637567
monkeyc8sp2s3523	-9.57777	14.840651
monkeyc8sp2s3587	-7.9261847	13.15116
monkeyc8sp2s3573	-8.509161	13.34945
